Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
"Scientist I - System Agronomist and Project Coordinator Project Implementation, Climate-resilient Management, Dissemination/Scaling Development",International Rice Research Institute (IRRI),India,,Posted 2 minutes ago,Close on 17 Mar 2023,https://www.unjobnet.org/jobs/detail/54328995
BioInformatician BGSI,United Nations Development Programme (UNDP),Jakarta (Indonesia),Consultancy,Posted 4 minutes ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54325937
Head of the Science Operations Development Division,European Space Agency (ESA),,,Posted 5 hours ago,,https://www.unjobnet.org/jobs/detail/54319131
Permanent Observer of IUCN to the United Nations,International Union for Conservation of Nature (IUCN),United States,Locallly Recruited,Posted 12 hours ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54304778
Statistician/Team Lead - Short-term Indicators,Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 10 hours ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/54304675
"Senior Research Assistant, Social Affairs [Temporary]",United Nations Economic Commission for Africa (UNECA),Rabat (Morocco),Associate,Posted 10 hours ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54303278
"Assistant (Data, Strategy and Innovation Group-DSI)",World Health Organization (WHO),Manila (Philippines),General Support,Posted 15 hours ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54296922
Chief of Section (Market Research and Industry Information Section) (PP-112),NATO Support and Procurement Agency (NSPA),Capellen (Luxembourg),Mid-level Professional,Posted 16 hours ago,,https://www.unjobnet.org/jobs/detail/54295249
"Research, Advocacy and Outreach Consultant",United Nations Human Settlements Programme (UN-HABITAT),Nairobi (Kenya),,Posted 16 hours ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54293451
Quick Response Team Leader (Survey/EOD & RE Team Leader),Danish Refugee Council (DRC),,,Posted 17 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54292406
Research Associate for Trade Facilitation (Maldives) - Individual Consultant,Asian Development Bank (ADB),Maldives,,Posted 17 hours ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54292158
